1,0
1,0
320193,aapl
789019,msft
1018724,amzn
1652044,goog
1326801,fb
1293451,tcehy
1577552,baba
1067983,brk-a
1318605,tsla
1403161,v
1046179,tsm
104169,wmt
200406,jnj
19617,jpm
80424,pg
1141391,ma
1045810,nvda
884394,spy
731766,unh
354950,hd
824046,lvmuy
1445468,idcby
1744489,dis
732712,vz
1108524,crm
70858,bac
21344,ko
1166691,cmcsa
796343,adbe
1633917,pypl
1065280,nflx
320187,nke
310158,mrk
732717,t
78003,pfe
1341439,orcl
77476,pep
1114448,nvs
1800,abt
1094517,tm
1445474,cichy
50863,intc
97745,tmo
937966,asml
1551152,abbv
858877,csco
1495688,cihky
909832,cost
1501437,acgby
804328,qcom
93410,cvx
1737806,pdd
313616,dhr
1283699,tmus
63908,mcd
34088,xom
1730168,avgo
353278,nvo
217410,ul
1467373,acn
1268896,lfc
110390,un
1613103,mdt
753308,nee
97476,txn
1090727,ups
773840,hon
901832,azn
1000184,sap
14272,bmy
100885,unp
1511634,aagiy
59478,lly
811809,bhp
1549802,jd
1707925,lin
1378999,bachy
318154,amgn
1091667,chtr
1668717,bud
1121404,sny
1306965,rds-a
1117795,chl
1413329,pm
1585521,zm
1065521,sftby
1594805,shop
887028,rtntf
1067839,qqq
829224,sbux
60667,low
1000275,ry
12927,ba
1108329,ptr
313838,sne
1171264,bbl
831001,c
72971,wfc
101829,rtx
879764,tot
895421,ms
1053507,amt
936468,lmt
1436949,hesay
1089113,hsbc
51143,ibm
1144967,hdb
2488,amd
1364742,blk
1373715,now
66740,mmm
896878,intu
947263,td
18230,cat
835403,deo
1131399,gsk
4962,axp
1136893,fis
1450488,chdry
1445465,ppruy
316709,schw
310764,syk
1001250,el
1543151,uber
64803,cvs
1512673,sq
1035267,isrg
1303523,bti
27419,tgt
40545,ge
1703399,se
1378580,eadsy
1103982,mdlz
1075531,bkng
64040,spgi
1446595,frcoy
315189,de
1555280,zts
863064,rio
923734,sbgsy
1161167,aiquy
1156039,antm
16868,cni
886982,gs
882095,gild
30554,cta-pa
798354,fisv
8670,adp
764180,mo
1679771,dnngy
1739940,ci
1045609,pld
109198,tjx
1048911,fdx
1640147,snow
21665,cl
1051470,cci
1453934,chgcy
1123658,snp
6951,amat
277948,csx
1067318,dmlry
723125,mu
1106215,kddiy
1099590,meli
1809587,beke
10795,bdx
1326160,duk
1736541,nio
1446519,dkily
896159,cb
89800,shw
313807,bp
49826,itw
917851,vale
36104,usb
1101239,eqix
715957,d
1445162,byddy
92122,so
1420798,rbgly
1158967,njdcy
92230,tfc
1564408,snap
707549,lrcx
1067491,infy
1124610,vmw
1001085,bam
702165,nsc
1467858,gm
1445476,hkxcy
1364012,safry
310732,bnpqy
31462,ecl
1442651,shecy
2969,apd
1156375,cme
1110646,ntes
1085922,esloy
1689565,pstvy
895728,enb
718877,atvi
1119639,pbr
9631,bns
62709,mmc
1065198,vcisy
67088,mufg
1123360,gpn
1571949,ice
769397,adsk
875320,vrtx
1091587,abb
80661,pgr
872589,regn
1327811,wday
713676,pnc
1395064,tak
1545460,olcly
49071,hum
1099800,ew
1648416,race
29534,dg
719245,wbk
1133421,noc
1610520,ubs
1059556,mco
1532383,vnja
1571996,dell
860730,hca
1095595,ceo
823768,wm
1132597,itub
1445470,csuay
1450468,mraay
6281,adi
1650372,team
899108,pdrdy
1164727,nem
1436791,ntoiy
885725,bsx
1140625,eqnr
715153,hmc
55785,kmb
1443276,toely
1447669,twlo
1639920,spot
1129137,amx
1551182,etn
315293,aon
753762,vlvly
313216,phg
1447011,bcmxy
1446711,lzagy
948401,cfruy
1329099,bidu
32604,emr
870016,jmhly
927971,bmo
1222333,gld
1666700,dd
929869,relx
16875,cp
1103838,ibn
1116578,puk
891478,san
1446596,fanuy
1397187,lulu
1499620,tal
1528541,chpxy
1565025,abev
865752,mnst
1387438,ecify
1110803,ilmn
1004315,ngg
1001838,scco
839923,vod
1436793,knyjy
